dic_no,word_kor,word_eng,mean,,,,,,,
1,개,dog,냄새를 잘 맡고 귀가 매우 밝으며 영리하고 사람을 잘 따라 사냥이나 애완 등의 목적으로 기르는 동물.,,,,,,,
2,고양이,cat,어두운 곳에서도 사물을 잘 보고 쥐를 잘 잡으며 집 안에서 기르기도 하는 자그마한 동물.,,,,,,,
3,닭,chicken,날지 못하고 알을 잘 낳으며 고기 맛이 좋아 집에서 기르는 큰 새.,,,,,,,
4,돼지,pig,"몸이 뚱뚱하고 다리와 꼬리가 짧고 눈이 작은, 고기를 먹기 위해 기르는 짐승.",,,,,,,
5,말,horse,"몸은 주로 갈색이나 검은색, 흰색이며, 얼굴, 목, 다리가 길고 목에는 갈기가 있으며 꼬리에는 긴 털이 나 있는 동물.",,,,,,,
6,물고기,fish,"물에서 사는, 아가미와 지느러미와 비늘이 있는 척추동물.",,,,,,,
7,뱀,snake,몸이 원통형으로 가늘고 길며 다리가 없고 피부가 비늘로 덮여 있는 파충류의 동물.,,,,,,,
8,까치,magpie,"머리에서 등까지는 검고 윤이 나며 어깨와 배는 흰, 사람의 집 근처에 사는 새.",,,,,,,
9,소,cow,"몸집이 크고 갈색이나 흰색과 검은색의 털이 있으며, 젖을 짜 먹거나 고기를 먹기 위해 기르는 짐승.",,,,,,,
10,코끼리,elephant,"매우 긴 코와 두 개의 큰 어금니가 있는, 육지에 사는 동물 가운데 가장 큰 동물.
",,,,,,,
11,토끼,rabbit,"귀가 길고 뒷다리가 앞다리보다 발달하였으며 꼬리는 짧은 동물.
",,,,,,,
12,호랑이,tiger,"누런 갈색의 몸에 검은 줄무늬가 있고, 다른 동물을 잡아먹고 사는 몸집이 큰 동물.",,,,,,,
13,개구리,frog,"논이나 하천 등지에 살며 네 발에 물갈퀴가 있어 헤엄을 잘 치고 뒷다리가 길어 잘 뛰며 울음주머니를 부풀려서 소리를 내는 동물.
",,,,,,,
14,거북이,turtle,"몸은 납작한 타원형이고 목이 짧으며, 단단한 등껍질이 있어 머리와 꼬리, 네 발을 그 안에 움츠려 넣을 수 있는 동물.
",,,,,,,
15,고래,whale,"몸집이 매우 크며 물고기처럼 생긴, 바다에 사는 동물.
",,,,,,,
16,곰,bear,"몸집이 크고 힘이 세며 털이 길고 거친, 갈색이나 검은색인 동물.",,,,,,,
17,사자,lion,"몸집이 크고 사나우며 수컷은 뒷머리와 앞가슴에 긴 갈기가 있는 동물.
",,,,,,,
18,양,sheep,"털과 고기를 얻기 위해 기르는, 온몸에 흰 털이 많이 나 있는 순한 동물.",,,,,,,
19,오리,duck,부리가 넓적하고 발가락 사이에 물갈퀴가 있어 헤엄을 잘 치는 동물.,,,,,,,
20,원숭이,monkey,"꼬리가 길며 주로 얼굴과 엉덩이에 털이 없고, 나무에 잘 올라가며 사람과 닮은 동물.",,,,,,,
21,쥐,rat,사람의 집 근처 어두운 곳에서 살며 몸은 진한 회색에 긴 꼬리를 가지고 있는 작은 동물.,,,,,,,
22,기린,giraffe,이마 양쪽에 짧은 뿔이 있으며 목과 다리가 아주 긴 동물.,,,,,,,
23,낙타,camel,"사막 지대에서 사람이 타거나 짐을 나르는 데 쓰이는, 등에 큰 혹이 있는 동물.",,,,,,,
24,늑대,wolf,"개와 비슷하게 생겼으며, 육식성으로 무리를 지어 생활하는 짐승.",,,,,,,
25,두꺼비,toad,모양은 개구리와 비슷하나 크기는 그보다 크며 몸은 어두운 갈색의 동물.,,,,,,,
26,병아리,chick,아직 다 자라지 못한 새끼 닭,,,,,,,
27,비둘기,pigeon,"공원이나 길가 등에서 흔히 볼 수 있는, 다리가 짧고 날개가 큰 회색 혹은 하얀색의 새.",,,,,,,
28,여우,fox,"개와 비슷하나 몸이 더 홀쭉하고, 누런 갈색 또는 붉은 갈색이며, 길고 뾰족한 주둥이와 굵고 긴 꼬리를 지닌 동물.",,,,,,,
29,염소,goat,"소보다 작고 뿔이 있으며 몸의 색깔은 갈색, 검은색, 흰색 등인, 가축으로 기르는 동물.",,,,,,,
30,제비,swallow,"등은 검고 배는 희며 매우 빠르게 날고, 봄에 한국에 날아왔다가 가을에 남쪽으로 날아가는 작은 여름 철새.",,,,,,,
31,참새,sparrow,"주로 사람이 사는 곳 근처에 살며, 몸은 갈색이고 배는 회백색인 작은 새.",,,,,,,
32,펭귄,penguin,"날지 못하고 두 발로 걸으며 헤엄을 잘 치는, 남극 지방에 무리 지어 사는 새.",,,,,,,
33,국수,noodle,"밀가루ㆍ메밀가루ㆍ감자 가루 따위를 반죽한 다음, 반죽을 손이나 기계 따위로 가늘고 길게 뽑아낸 식품. 또는 그것을 삶아 만든 음식.",,,,,,,
34,사탕,candy,설탕이나 엿 따위를 끓였다가 식혀서 여러 가지 모양으로 굳힌 것,,,,,,,
35,나무,tree,줄기나 가지가 목질로 된 여러해살이 식물.,,,,,,,
36,꽃,flower,"종자식물의 번식 기관. 모양과 색이 다양하며, 꽃받침과 꽃잎, 암술과 수술로 이루어져 있다.",,,,,,,
37,비누,soap,때를 씻어 낼 때 쓰는 물건.,,,,,,,
38,가스레인지,gas range,가스를 연료로 사용하여 음식을 조리하는 기구.,,,,,,,
39,가습기,humidifier,수증기를 내어 실내의 습도를 조절하는 전기 기구.,,,,,,,
40,가위,scissors,"옷감, 종이, 머리털 따위를 자르는 기구.",,,,,,,
41,칼,knife,물건을 베거나 썰거나 깎는 데 쓰는 도구.,,,,,,,
42,감자,potato,"가짓과의 여러해살이풀. 비교적 찬 기후에서 잘 자라고 성장 기간이 짧다. 남아메리카 칠레가 원산지로 온대, 한대에서 널리 재배",,,,,,,
43,고구마,sweat potato,메꽃과의 여러해살이풀. 북아메리카가 원산지로 따뜻한 지방에서 재배,,,,,,,
44,옥수수,corn,"볏과의 한해살이풀. 멕시코에서 남아메리카 북부에 걸친 지역이 원산지로, 전 세계에서 재배",,,,,,,
45,떡,ricecake,"곡식 가루를 찌거나, 그 찐 것을 치거나 빚어서 만든 음식.",,,,,,,
46,오이,cucumber,박과의 한해살이 덩굴풀.,,,,,,,
47,개천,creek,개골창 물이 흘러 나가도록 길게 판 내.,,,,,,,
48,갯벌,mud flats,밀물 때는 물에 잠기고 썰물 때는 물 밖으로 드러나는 모래 점토질의 평탄한 땅.,,,,,,,
49,사과,apple,사과나무의 열매,,,,,,,
50,배,ship,사람이나 짐 따위를 싣고 물 위로 떠다니도록 나무나 쇠 따위로 만든 물건.,,,,,,,
51,차,car,"바퀴가 굴러서 나아가게 되어 있는, 사람이나 짐을 실어 옮기는 기관.",,,,,,,
52,비행기,plane,동력으로 프로펠러를 돌리거나 연소 가스를 내뿜는 힘에 의하여 생기는 양력(揚力)을 이용하여 공중으로 떠서 날아다니는 항공기.,,,,,,,
53,컴퓨터,computer,전자 회로를 이용한 고속의 자동 계산기.,,,,,,,
54,노트북,labtop,일상적으로 휴대하여 사용하기 편하도록 공책 크기로 만든 경량 컴퓨터.,,,,,,,
55,텔레비전,tv,사물의 광학적인 상을 전파에 실어 보내어 수신 장치에 재현하는 전기 통신 방식.,,,,,,,
56,바나나,banana,파초과의 상록 여러해살이풀.,,,,,,,
57,다리미,steam iron,옷이나 천 따위의 주름이나 구김을 펴고 줄을 세우는 데 쓰는 도구.,,,,,,,
58,계단,stair,사람이 오르내리기 위하여 건물이나 비탈에 만든 층층대.,,,,,,,
59,돌,stone,흙 따위가 굳어서 된 광물질의 단단한 덩어리.,,,,,,,
60,산,mountain,평지보다 높이 솟아 있는 땅의 부분.,,,,,,,
61,바다,sea,지구 위에서 육지를 제외한 부분으로 짠물이 괴어 하나로 이어진 넓고 큰 부분.,,,,,,,
62,도시락,lunch box,"밥을 담는 작은 그릇. 플라스틱이나 얇은 나무판자, 알루미늄 따위로 만든다.",,,,,,,
63,키보드,keyboard,컴퓨터에 접속되어 있는 키보드로 데이터를 입력하는 작업.,,,,,,,
64,마우스,mouse,컴퓨터 입력 장치의 하나.,,,,,,,
65,비닐봉투,plastic bag, 비닐로 만든 봉투.,,,,,,,
66,컵,cup,물이나 음료 따위를 따라 마시려고 만든 그릇.,,,,,,,
67,안경,glasses,"시력이 나쁜 눈을 잘 보이게 하기 위하여나 바람, 먼지, 강한 햇빛 따위를 막기 위하여 눈에 쓰는 물건.",,,,,,,
68,분무기,sprayer,물이나 약품 따위를 안개처럼 뿜어내는 도구.,,,,,,,
69,전선,wire,전류가 흐르도록 하는 도체(導體)로서 쓰는 선.,,,,,,,
70,멀티탭,multitap,여러 개의 플러그를 꽂을 수 있게 만든 이동식 콘센트.,,,,,,,
71,병,bottle,주로 액체나 가루를 담는 데에 쓰는 목과 아가리가 좁은 그릇.,,,,,,,
72,손가방,purse,손에 들고 다니는 작은 가방.,,,,,,,
73,가방,backpack,물건을 넣어 들거나 메고 다닐 수 있게 만든 용구. ,,,,,,,
74,종이가방,paper bag,종이로 만든 가방.,,,,,,,
75,핸드폰,cell phone,손에 들거나 몸에 지니고 다니면서 걸고 받을 수 있는 소형 무선 전화기.,,,,,,,
76,그릇,bowl,음식이나 물건 따위를 담는 기구를 통틀어 이르는 말.,,,,,,,
